"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"114","SBI Cards & Payment Services Ltd","SBICARD","P&F | F.A","-0.24%","999.8","1,35,535"
"169","Bharat Electronics Limited","BEL","P&F | F.A","-0.24%","396.45","59,04,902"
"170","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-0.24%","392.4","9,75,235"
"26","LTI Mindtree Ltd","LTIM","P&F | F.A","-0.26%","5371","42,540"
"61","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","-0.26%","2154.1","51,255"
"66","Hdfc Bank Limited","HDFCBANK","P&F | F.A","-0.26%","1960.1","18,23,486"
"72","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","-0.27%","1852","49,67,306"
"210","Bank Of India","BANKINDIA","P&F | F.A","-0.3%","125.9","37,15,140"
"78","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","-0.31%","1683.5","4,09,547"
"82","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","-0.33%","1632.3","5,46,121"
"43","Angel One Ltd","ANGELONE","P&F | F.A","-0.35%","3134.4","2,24,271"
"52","Adani Enterprises Limited","ADANIENT","P&F | F.A","-0.35%","2603.9","3,15,661"
"69","Oberoi Realty Limited","OBEROIRLTY","P&F | F.A","-0.35%","1911","1,79,714"
"94","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","-0.37%","1468.4","8,05,519"
"9","Maruti Suzuki India Limited","MARUTI","P&F | F.A","-0.38%","12473","1,19,391"
"137","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","-0.4%","692.45","74,795"
"120","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","-0.42%","940","10,44,020"
"7","Solar Industries India Limited","SOLARINDS","P&F | F.A","-0.45%","16831","47,614"
"20","Persistent Systems Limited","PERSISTENT","P&F | F.A","-0.46%","5918.5","1,05,443"
"56","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","-0.47%","2438.5","1,65,177"
"42","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","-0.48%","3205.5","45,615"
"103","Voltas Limited","VOLTAS","P&F | F.A","-0.48%","1311.4","10,97,179"
